lago,fecha,ruta
atitlan,2025-01-18,data/raster/atitlan/atitlan_2025-01-18.tif
atitlan,2025-04-13,data/raster/atitlan/atitlan_2025-04-13.tif
atitlan,2025-05-13,data/raster/atitlan/atitlan_2025-05-13.tif
atitlan,2025-07-17,data/raster/atitlan/atitlan_2025-07-17.tif
atitlan,2025-11-21,data/raster/atitlan/atitlan_2025-11-21.tif
atitlan,2025-12-29,data/raster/atitlan/atitlan_2025-12-29.tif
atitlan,2026-02-12,data/raster/atitlan/atitlan_2026-02-12.tif
atitlan,2026-03-24,data/raster/atitlan/atitlan_2026-03-24.tif
atitlan,2026-04-13,data/raster/atitlan/atitlan_2026-04-13.tif
atitlan,2026-04-28,data/raster/atitlan/atitlan_2026-04-28.tif
atitlan,2026-07-22,data/raster/atitlan/atitlan_2026-07-22.tif
amatitlan,2025-01-28,data/raster/amatitlan/amatitlan_2025-01-28.tif
amatitlan,2025-04-15,data/raster/amatitlan/amatitlan_2025-04-15.tif
amatitlan,2025-04-28,data/raster/amatitlan/amatitlan_2025-04-28.tif
amatitlan,2025-11-24,data/raster/amatitlan/amatitlan_2025-11-24.tif
amatitlan,2026-01-08,data/raster/amatitlan/amatitlan_2026-01-08.tif
amatitlan,2026-02-02,data/raster/amatitlan/amatitlan_2026-02-02.tif
amatitlan,2026-02-07,data/raster/amatitlan/amatitlan_2026-02-07.tif
amatitlan,2026-03-29,data/raster/amatitlan/amatitlan_2026-03-29.tif
amatitlan,2026-04-13,data/raster/amatitlan/amatitlan_2026-04-13.tif
amatitlan,2026-04-28,data/raster/amatitlan/amatitlan_2026-04-28.tif
amatitlan,2026-06-19,data/raster/amatitlan/amatitlan_2026-06-19.tif
