lago,fecha,ndvi_prom,ndwi_prom,cianobacteria_prom,pct_agua
amatitlan,2025-01-28,-0.3555587,0.55730736,63.13515,12.664458913336327
amatitlan,2025-04-15,-0.08917497,0.2741552,37.245308,12.260247610494579
amatitlan,2025-04-28,-0.06110794,0.275404,47.77526,11.922108538071717
amatitlan,2025-11-24,-0.36794037,0.5058367,47.58112,12.376996600166784
amatitlan,2026-01-08,-0.1245868,0.38093424,70.882065,11.470508050548464
amatitlan,2026-02-02,-0.06348259,0.1738373,33.06525,11.207421900057733
amatitlan,2026-02-07,-0.42890257,0.605405,45.711452,6.292177176213996
amatitlan,2026-03-29,-0.070838295,0.29766816,57.773796,12.546106228751041
amatitlan,2026-04-13,-0.026536219,0.26775074,67.103966,12.717861953941881
amatitlan,2026-04-28,-0.045621134,0.31523204,58.49646,10.60699852460068
amatitlan,2026-06-19,-0.20602584,0.5130773,143.94685,13.039964077233948
atitlan,2025-01-18,0.30576295,0.83498776,176.5318,25.388567895443785
atitlan,2025-04-13,-0.04615113,0.36447677,15.795756,25.402747127980923
atitlan,2025-05-13,-0.06484231,0.33754817,17.46345,28.715264243970566
atitlan,2025-07-17,-0.05492381,0.41904646,20.149355,25.369896847635765
atitlan,2025-11-21,-0.19124721,0.7401766,32.631504,26.108541714577637
atitlan,2025-12-29,-0.029036356,0.5362627,20.610083,27.9647585007604
atitlan,2026-02-12,-0.16171351,0.68058324,28.254484,25.356338603384927
atitlan,2026-03-24,-0.13391706,0.45672956,17.549181,25.966397495844035
atitlan,2026-04-13,-0.031583227,0.24953064,18.900936,25.34727217440497
atitlan,2026-04-28,-0.07383939,0.2938378,16.44108,27.09829354488886
atitlan,2026-07-22,-0.08462449,0.45764503,19.254324,25.321480460914064
