source,target,weight
UCdFlugHJJa4l3YqWuNRmvXw,UCpe5jW3MIqkgTJ-PgkzvM6Q,1
UCdFlugHJJa4l3YqWuNRmvXw,UCqCrvuoJpC-aVb0f4logQRQ,1
UCdFlugHJJa4l3YqWuNRmvXw,UCDrmf9y9nLgFY5wnA2hTuGA,1
UCdFlugHJJa4l3YqWuNRmvXw,UCaKAjTW9MVub_clgr4DRYjQ,1
UCdFlugHJJa4l3YqWuNRmvXw,UC-fiZBS5Gp1eCJd9ucgWnCg,1
UCdFlugHJJa4l3YqWuNRmvXw,UCeDNEtI8_a42bZ47wJiJMwQ,1
UCdFlugHJJa4l3YqWuNRmvXw,UCZeIIQrGAedW8tCbKWmGY-A,1
UCdFlugHJJa4l3YqWuNRmvXw,UCwgCc9Jd_gG-uLE_SY-FfPg,1
UCdFlugHJJa4l3YqWuNRmvXw,UCCBYcToQ2dwkd6TJh0FSyDg,1
UCdFlugHJJa4l3YqWuNRmvXw,UCQqlPPUGqAfWjd-FSh_qn7Q,1
UCdFlugHJJa4l3YqWuNRmvXw,UCUoYsrx1oZnCZ0usbBJn4fA,1
UCdFlugHJJa4l3YqWuNRmvXw,UC_LYoGs5C3mbZKZuKuqYCvw,1
UCdFlugHJJa4l3YqWuNRmvXw,UCRAquv8el-tQ30bN7MlmySQ,1
UCdFlugHJJa4l3YqWuNRmvXw,UColMq7LmaoY3MT6aIDGrGvA,1
UCdFlugHJJa4l3YqWuNRmvXw,UCRvPToDkkumha7WJAfCDk1A,1
UCdFlugHJJa4l3YqWuNRmvXw,UCu8_3-Wg-YzNyvHYQDEscfw,1
UCdFlugHJJa4l3YqWuNRmvXw,UCylqlpsh8ENNM1LqgQ1KbxA,1
UCdFlugHJJa4l3YqWuNRmvXw,UC32oozucwCF3q8d4m8fyOUg,1
UCdFlugHJJa4l3YqWuNRmvXw,UCQyOePccUP-fIJYzchAgZYw,1
UCdFlugHJJa4l3YqWuNRmvXw,UCV0lM03g5fg5pbPj97-sAtA,1
UCdFlugHJJa4l3YqWuNRmvXw,UCW-JC6lebVmf2P1dmY_L94g,1
UCdFlugHJJa4l3YqWuNRmvXw,UCAKuKvcbfnBD3kF5njNu-IA,1
UCdFlugHJJa4l3YqWuNRmvXw,UCk4O-J1BhoqPmig1KLGJePA,1
UCdFlugHJJa4l3YqWuNRmvXw,UCfRqgt2O-vjzUDMZY_tnxQw,1
UCdFlugHJJa4l3YqWuNRmvXw,UC3UVO7pTbeYvZ3ILEyRDskQ,1
UCdFlugHJJa4l3YqWuNRmvXw,UC816IGbFCZinfYS1LRDaaHg,1
UCdFlugHJJa4l3YqWuNRmvXw,UC4kg7zuTfqQKLd2bkZrSYBA,1
UCdFlugHJJa4l3YqWuNRmvXw,UCLh1Kde4_vI1sTZBkTNP7RQ,1
UCdFlugHJJa4l3YqWuNRmvXw,UC4Avya4kmR4Q0FrfFdBozSQ,1
UCdFlugHJJa4l3YqWuNRmvXw,UCFFrEmn6lPYiWyElpfzTy5Q,1
UCdFlugHJJa4l3YqWuNRmvXw,UCBtB5dIyx-C16UN8ClUD2UA,1
UCdFlugHJJa4l3YqWuNRmvXw,UCgJNFj5dnxXpcMvmuhZDPxA,1
UCdFlugHJJa4l3YqWuNRmvXw,UCkVtmkK07b2zaVVNssX4lOg,1
UCdFlugHJJa4l3YqWuNRmvXw,UC1DpqK6vaPEkBOMNvypsKYg,1
UCdFlugHJJa4l3YqWuNRmvXw,UCNpt5CQlTzNjlAKY6CJtClQ,1
UCdFlugHJJa4l3YqWuNRmvXw,UCiC-Jn7wdgyQV4_Urk0DkWQ,1
UCdFlugHJJa4l3YqWuNRmvXw,UCpsKOkt5iWTbenzeuq7dsmQ,1
UCdFlugHJJa4l3YqWuNRmvXw,UCWoAVGVqCn4xtINCMOTM4jg,1
UCdFlugHJJa4l3YqWuNRmvXw,UClqA491Xa5fQcXcJJa-vTWw,1
UCdFlugHJJa4l3YqWuNRmvXw,UCe8JZoYkX5oKUZyivHYdXhw,1
UCdFlugHJJa4l3YqWuNRmvXw,UClhMWQ7XKWywYvbRnuf8QsA,1
UCdFlugHJJa4l3YqWuNRmvXw,UC5hvEnRUzI4Kfvwnyi4QxqQ,1
UCdFlugHJJa4l3YqWuNRmvXw,UCGGHbtfbbe0o68etrOf0qxw,1
UCdFlugHJJa4l3YqWuNRmvXw,UCgQw_Sbq3ugruDUKsq1e0-A,1
UCdFlugHJJa4l3YqWuNRmvXw,UC6Uj1FT5JjDSF8vudvDxPAA,1
UCdFlugHJJa4l3YqWuNRmvXw,UC7dadZG7kkGYnsNu6td0FbA,1
UCdFlugHJJa4l3YqWuNRmvXw,UCsGoJEvb-cFPZ2rWoJcXzEQ,1
UCdFlugHJJa4l3YqWuNRmvXw,UCkbsS_3D-pvg1iHOld9uvIg,1
UCdFlugHJJa4l3YqWuNRmvXw,UC95PSMouTx2N5CbSq0hIyrQ,1
UCdFlugHJJa4l3YqWuNRmvXw,UCOcUI5XkTYNMSFhZNMIPpGg,1
UCdFlugHJJa4l3YqWuNRmvXw,UCuXmOjxC-htcprLgeVXz6Tg,1
UCdFlugHJJa4l3YqWuNRmvXw,UCHbwIx9pmQuf7i-4_xO2EpA,1
UCdFlugHJJa4l3YqWuNRmvXw,UCwjUvRseNtJoItylIyIez7Q,1
UCdFlugHJJa4l3YqWuNRmvXw,UCW80DaMjQlEUibC98Cot-Dg,1
UCvl1tzQeBeGy6efPTRJXSCw,UCjZgFEowMBrsjodqfovzdKw,1
UCvl1tzQeBeGy6efPTRJXSCw,UCIXLDYqR_syskKRJy_x9W9Q,1
UCvl1tzQeBeGy6efPTRJXSCw,UC_3xuTXvMIWU5MYP9HkJ3vQ,1
UCvl1tzQeBeGy6efPTRJXSCw,UC2ngpd8UBQu4gcUYy0goAtg,1
UCvl1tzQeBeGy6efPTRJXSCw,UCfXykdbSU97rj987LDUGfvg,1
UCvl1tzQeBeGy6efPTRJXSCw,UCLXYp1Cvc5DLtq5UQL5D9vw,1
UCvl1tzQeBeGy6efPTRJXSCw,UCAxvOOHQk7dYPOajzFEVtbA,1
UCvl1tzQeBeGy6efPTRJXSCw,UCO0zwwLWGyDgQmWPJ5Qrr1w,1
UCvl1tzQeBeGy6efPTRJXSCw,UCXN2s7DwTJm33xO-pNkAdaA,1
UCvl1tzQeBeGy6efPTRJXSCw,UCq3mDTTRZnUybct5M9OSXbg,1
UCvl1tzQeBeGy6efPTRJXSCw,UCfjhejO7LZy4doXURa7LZCQ,1
UCvl1tzQeBeGy6efPTRJXSCw,UCwCfs-2zbD5k0lG-UVg_JBw,1
UCRAquv8el-tQ30bN7MlmySQ,UCpe5jW3MIqkgTJ-PgkzvM6Q,1
UCRAquv8el-tQ30bN7MlmySQ,UCqCrvuoJpC-aVb0f4logQRQ,1
UCRAquv8el-tQ30bN7MlmySQ,UCDrmf9y9nLgFY5wnA2hTuGA,1
UCRAquv8el-tQ30bN7MlmySQ,UCaKAjTW9MVub_clgr4DRYjQ,1
