node_id,tipo,etiqueta,n_comentarios_totales,n_videos_comentados,channel_name,category,view_count,n_comentarios_recibidos,n_autores_unicos
UCdFlugHJJa4l3YqWuNRmvXw,autor,/@MarcosCarillo-b1r,2.0,2.0,,,,,
UCvl1tzQeBeGy6efPTRJXSCw,autor,/@RaulPerez-cw2vi,1.0,1.0,,,,,
UCRAquv8el-tQ30bN7MlmySQ,autor,/@iamjimalesssa,1.0,1.0,,,,,
UCkbsS_3D-pvg1iHOld9uvIg,autor,/@gonzalo6075,1.0,1.0,,,,,
UCOLHH4ZpMxPYF-Q6e6wvn5A,autor,/@luisroldan7374,1.0,1.0,,,,,
UCi2KiZq63sRq8Mfbcp-MelQ,autor,/@eugeneramirez4405,6.0,1.0,,,,,
UCXl30Y_upRqbti52fmjK4YA,autor,/@capitanfrans,1.0,1.0,,,,,
UCRelkU8JiZBytTzebJxaa-w,autor,/@danyraymundo2942,1.0,1.0,,,,,
UCgLurCo-e019HGODcjXHWCw,autor,/@perritojuega1,1.0,1.0,,,,,
UCDIMztpVm7G27qBuiWuT6oQ,autor,/@lizardomorataya8274,1.0,1.0,,,,,
UCZOmq6MwFDVoCaEl99BRRaw,autor,/@daniloarevalo3170,1.0,1.0,,,,,
UCFybmWapGvBKcQod7cPPH9w,autor,/@vitalianochavez8382,1.0,1.0,,,,,
UCh5ESQvtzyHDhCA7XyekCFA,autor,/@andyB5280,3.0,1.0,,,,,
UCWIZUtKJ636y-4TYrNvok0g,autor,/@cesarandreas7824,1.0,1.0,,,,,
UCzoL2l5H5eVlorWGH8AZfAg,autor,/@jor77cas,1.0,1.0,,,,,
UCKVzDUqbtdSMBcexaEtMmzQ,autor,/@rotorairgroup8409,1.0,1.0,,,,,
UCNpt5CQlTzNjlAKY6CJtClQ,autor,/@eustaquiogomez9975,1.0,1.0,,,,,
UCut6b9S98nv84cVX89PmKzA,autor,/@yeniferaguirre4498,2.0,1.0,,,,,
UCQyOePccUP-fIJYzchAgZYw,autor,/@aguilar4254,1.0,1.0,,,,,
UCOLGv5Pf6BF2wFcwUzgcvHg,autor,/@welfrealdana5559,2.0,1.0,,,,,
UCAxvOOHQk7dYPOajzFEVtbA,autor,/@ruddydepaz322,2.0,1.0,,,,,
UCQ_-LPP8JAbfkc-b1Q6NvWw,autor,/@MegaKristenstewart,2.0,1.0,,,,,
UCXmrpc6Li0spcKxtS0Q_ptg,autor,/@melvinperez6710,1.0,1.0,,,,,
UCZ51R_9Q9C0c8I3pAWhtmjQ,autor,/@belvettzapeta1251,1.0,1.0,,,,,
UCPLW0HE3siElqCgXfgWxMqg,autor,/@elizabethmonterroso7719,1.0,1.0,,,,,
